项次,物料名称,规格,单位,数量,加工工序,单价,总价,交期
1,物料名称1,9900K89,个,123,xxx加工工序,12,1476,20xx.1.1
2,物料名称2,9900K90,个,124,xxx加工工序,13,1612,20xx.1.2
3,物料名称3,9900K91,个,125,xxx加工工序,14,1750,20xx.1.3
4,物料名称4,9900K92,个,126,xxx加工工序,15,1890,20xx.1.4
5,物料名称5,9900K93,个,127,xxx加工工序,16,2032,20xx.1.5
6,物料名称6,9900K94,个,128,xxx加工工序,17,2176,20xx.1.6
7,物料名称7,9900K95,个,129,xxx加工工序,18,2318,20xx.1.7
8,物料名称8,9900K96,个,130,xxx加工工序,19,2460,20xx.1.8
9,物料名称9,9900K97,个,131,xxx加工工序,20,2602,20xx.1.9
10,物料名称10,9900K98,个,132,xxx加工工序,21,2744,20xx.1.10
